review,sentiment
 The Servces in gensral,NEGATIVE
 I spend 100 nights a year in various hotels and I rate this hotel far higher than it s 4 stars suggest Exceptional attention to detail and flawless training of staff It is a credit to the owners and employees ,POSITIVE
 Amazing room with really good facilities Excellent location it was a ten minute walk to the right to Big Ben Westminster bridge London eye and to the left was a ten minutes walk to the Vauxhall tube station Didn t spend much time in the room as we were on the go for the three days we spent there The staff we re really friendly and I could tell if we had any queries or needed any help they would have more than happy to help The concierge men were so friendly and went out their way to make conversation and to make you feel welcome The hotel was sparkling clean and smelt amazing I couldn t fault one thing with regards to the appearance of the hotel and the room Also the singer on the Saturday night at Chico Latino bar was really good and enjoyed listening to him ,POSITIVE
 The staff I need a response for swiping my wrong credit card ,NEGATIVE
 Thought the hotel was lovely and would love to stay there sometime again in the future ,POSITIVE
 Nothing,NEGATIVE
 Great location a 2 minute walk to the O2 Great view from our room out over the river Beautiful room and a massive comfy bed couldn t ask for more ,POSITIVE
 Location,POSITIVE
 On arrival our greeting from the receptionist was clipped and verging on unfriendly She didn t make us feel welcome and wasn t very helpful or understanding at all We expected a warm cheerful hello at the very least We had travelled over 300 miles to be there ,NEGATIVE
 They left little chocolates for my boyfriend for his birthday which was a nice touch and the bed was super comfy ,POSITIVE
 Beds are perfect good breakfast clean rooms ,POSITIVE
 I would have like breakfast to be included ,POSITIVE
 Very efficient friendly staff Big room Quiet ,POSITIVE
 Rooms are too small You cannot reach your bed when your luggage is fully opened ,NEGATIVE
 Location was perfect Rooms were nice and clean ,POSITIVE
 Drink prices,POSITIVE
 Location staff in room dinning food was good ,POSITIVE
 clean comfortable welcoming great location and nice staff,POSITIVE
 location was perfect for what we needed the staff were very helpful and the room was lovely,POSITIVE
 There was an open bottle of water in the room when I got there Also had to ask twice for hot water at breakfast ,NEGATIVE
 The room was too small and had steep steps inside the room The bed was small Specially duvet was very small ,NEGATIVE
 now swimming pool,POSITIVE
 Amazing staff who couldn t do enough to help you They seemed interested in your plans and stay Rooms were beautiful and the attention to detail was noted Overall Fantastic Will definitely be returning ,POSITIVE
 the convenience of the location for our function also a room for 3 adults,POSITIVE
 Air con very poor which made the rooms very stuffy,NEGATIVE
 The air condition did not work very well ,NEGATIVE
 Spacious room fresh fruits for free nice staff,POSITIVE
 Staff were nice and helpful,POSITIVE
 Good services,POSITIVE
 i booked a junior suite and was upgraded to penthouse i stayed only one night 2 nights later i was back in London and booked the penthouse suite this time for the asking price the view alone was worth it london eye room i was honoured to be upgraded and may now always book their top suite rooms appart from that the staff were splendid the food super and bar very adiquate i grew up in london and never seen a view like this and a sunset like that i also own one of the most renowned sunset bars in the world and this came very close thank you for the amazing experiance ,POSITIVE
 Value for money and location in Canary wharf,POSITIVE
 All is fine Thanks a lot ,POSITIVE
 The staff was amazing and very attentive They made us feel welcome 24 7 In addition we got a room upgrade which gave us more space with a cot bed all free of charge We also used the pool which was lovely The quality of food in the restaurant was great too We can t fault anything and will come back here for our next trip to London ,POSITIVE
 Nothing in particular,NEGATIVE
 Could not walk around bed in the room Smelled of fried onions Moved our hotel Air con didn t work Shower leaked,NEGATIVE
 Excellent staff perfect location for visit to Wembley had a fantastic night Thank you Hilton ,POSITIVE
 The staff were very welcoming and friendly The hotel was in a great location with the tube only a couple of streets away which made it a lot easier to travel ,POSITIVE
 Lighting,POSITIVE
 Rooms are dated noise from DLR,NEGATIVE
 Good hotel but very tired,NEGATIVE
 Very nice hotel Great location Quite room and fast service check in check out concierge I would like to return ,POSITIVE
 The breakfast was great and staff were very helpful ,POSITIVE
 thank you for accommodating our dog Lucy She was very happy,POSITIVE
 The walls in the corridors rooms looked tired Requested anything special the Hotel could do for my sons 18th birthday as it seemed very expensive for 1 night Toilet in my sons room didn t flush Got nothing even sent the card to me and not my son,NEGATIVE
 Long queue at the check in too little staff at peak time,NEGATIVE
 They left us alone,NEGATIVE
 Very near the tube so travel good ,POSITIVE
 Old floor and a bit small room No chair in the room Wi Fi works good but no password ,NEGATIVE
