review,sentiment,query_id,review_text,matched_variable_id,distance,matched_variable_description
 The Servces in gensral,NEGATIVE,0,,,,
 I spend 100 nights a year in various hotels and I rate this hotel far higher than it s 4 stars suggest Exceptional attention to detail and flawless training of staff It is a credit to the owners and employees ,POSITIVE,1,,,,
 Amazing room with really good facilities Excellent location it was a ten minute walk to the right to Big Ben Westminster bridge London eye and to the left was a ten minutes walk to the Vauxhall tube station Didn t spend much time in the room as we were on the go for the three days we spent there The staff we re really friendly and I could tell if we had any queries or needed any help they would have more than happy to help The concierge men were so friendly and went out their way to make conversation and to make you feel welcome The hotel was sparkling clean and smelt amazing I couldn t fault one thing with regards to the appearance of the hotel and the room Also the singer on the Saturday night at Chico Latino bar was really good and enjoyed listening to him ,POSITIVE,2,,,,
 The staff I need a response for swiping my wrong credit card ,NEGATIVE,3,,,,
 Thought the hotel was lovely and would love to stay there sometime again in the future ,POSITIVE,4,,,,
 Nothing,NEGATIVE,5,,,,
 Great location a 2 minute walk to the O2 Great view from our room out over the river Beautiful room and a massive comfy bed couldn t ask for more ,POSITIVE,6,,,,
 Location,POSITIVE,7,,,,
 On arrival our greeting from the receptionist was clipped and verging on unfriendly She didn t make us feel welcome and wasn t very helpful or understanding at all We expected a warm cheerful hello at the very least We had travelled over 300 miles to be there ,NEGATIVE,8, On arrival our greeting from the receptionist was clipped and verging on unfriendly She didn t make us feel welcome and wasn t very helpful or understanding at all We expected a warm cheerful hello at the very least We had travelled over 300 miles to be there ,staff_friendliness,0.37652671793102505,The courtesy and willingness of hotel staff to address guests' needs and concerns.
 They left little chocolates for my boyfriend for his birthday which was a nice touch and the bed was super comfy ,POSITIVE,9,,,,
 Beds are perfect good breakfast clean rooms ,POSITIVE,10,,,,
 I would have like breakfast to be included ,POSITIVE,11,,,,
 Very efficient friendly staff Big room Quiet ,POSITIVE,12,,,,
 Rooms are too small You cannot reach your bed when your luggage is fully opened ,NEGATIVE,13, Rooms are too small You cannot reach your bed when your luggage is fully opened ,room_size,0.3820146039653046,"The spaciousness and overall size of the hotel's rooms, contributing to guest comfort and satisfaction."
 Location was perfect Rooms were nice and clean ,POSITIVE,14,,,,
 Drink prices,POSITIVE,15,,,,
 Location staff in room dinning food was good ,POSITIVE,16,,,,
 clean comfortable welcoming great location and nice staff,POSITIVE,17,,,,
 location was perfect for what we needed the staff were very helpful and the room was lovely,POSITIVE,18,,,,
 There was an open bottle of water in the room when I got there Also had to ask twice for hot water at breakfast ,NEGATIVE,19,,,,
 The room was too small and had steep steps inside the room The bed was small Specially duvet was very small ,NEGATIVE,20, The room was too small and had steep steps inside the room The bed was small Specially duvet was very small ,room_size,0.39212135381053537,"The spaciousness and overall size of the hotel's rooms, contributing to guest comfort and satisfaction."
 now swimming pool,POSITIVE,21,,,,
 Amazing staff who couldn t do enough to help you They seemed interested in your plans and stay Rooms were beautiful and the attention to detail was noted Overall Fantastic Will definitely be returning ,POSITIVE,22,,,,
 the convenience of the location for our function also a room for 3 adults,POSITIVE,23,,,,
 Air con very poor which made the rooms very stuffy,NEGATIVE,24,,,,
 The air condition did not work very well ,NEGATIVE,25,,,,
 Spacious room fresh fruits for free nice staff,POSITIVE,26,,,,
 Staff were nice and helpful,POSITIVE,27,,,,
 Good services,POSITIVE,28,,,,
 i booked a junior suite and was upgraded to penthouse i stayed only one night 2 nights later i was back in London and booked the penthouse suite this time for the asking price the view alone was worth it london eye room i was honoured to be upgraded and may now always book their top suite rooms appart from that the staff were splendid the food super and bar very adiquate i grew up in london and never seen a view like this and a sunset like that i also own one of the most renowned sunset bars in the world and this came very close thank you for the amazing experiance ,POSITIVE,29,,,,
 Value for money and location in Canary wharf,POSITIVE,30,,,,
 All is fine Thanks a lot ,POSITIVE,31,,,,
 The staff was amazing and very attentive They made us feel welcome 24 7 In addition we got a room upgrade which gave us more space with a cot bed all free of charge We also used the pool which was lovely The quality of food in the restaurant was great too We can t fault anything and will come back here for our next trip to London ,POSITIVE,32,,,,
 Nothing in particular,NEGATIVE,33,,,,
 Could not walk around bed in the room Smelled of fried onions Moved our hotel Air con didn t work Shower leaked,NEGATIVE,34,,,,
 Excellent staff perfect location for visit to Wembley had a fantastic night Thank you Hilton ,POSITIVE,35,,,,
 The staff were very welcoming and friendly The hotel was in a great location with the tube only a couple of streets away which made it a lot easier to travel ,POSITIVE,36,,,,
 Lighting,POSITIVE,37,,,,
 Rooms are dated noise from DLR,NEGATIVE,38,,,,
 Good hotel but very tired,NEGATIVE,39,,,,
 Very nice hotel Great location Quite room and fast service check in check out concierge I would like to return ,POSITIVE,40,,,,
 The breakfast was great and staff were very helpful ,POSITIVE,41,,,,
 thank you for accommodating our dog Lucy She was very happy,POSITIVE,42,,,,
 The walls in the corridors rooms looked tired Requested anything special the Hotel could do for my sons 18th birthday as it seemed very expensive for 1 night Toilet in my sons room didn t flush Got nothing even sent the card to me and not my son,NEGATIVE,43,,,,
 Long queue at the check in too little staff at peak time,NEGATIVE,44,,,,
 They left us alone,NEGATIVE,45,,,,
 Very near the tube so travel good ,POSITIVE,46,,,,
 Old floor and a bit small room No chair in the room Wi Fi works good but no password ,NEGATIVE,47, Old floor and a bit small room No chair in the room Wi Fi works good but no password ,room_size,0.4302922515782366,"The spaciousness and overall size of the hotel's rooms, contributing to guest comfort and satisfaction."
 The hotel is absolutely second to none if you like modern high tec modern hotels We did even though we are getting on Fabulous alround You can lay on the fabulous comfortable bed and control everything via a tablet Spotlessly clean and attention to detail Recommended ,POSITIVE,48,,,,
 We had an excellent stay at Park Plaza County Hall Reception and concierge staff were very polite and helpful We will definately try to stay here on our next break in London ,POSITIVE,49,,,,
 Bed duvet not soft,POSITIVE,50,,,,
 The lack of a sitting room or similar where we could sit with our family and chat It took us a while to realise that we could use the restaurant for this as it doubled up as a bar and meeting area ,NEGATIVE,51, The lack of a sitting room or similar where we could sit with our family and chat It took us a while to realise that we could use the restaurant for this as it doubled up as a bar and meeting area ,room_size,0.44194226987890517,"The spaciousness and overall size of the hotel's rooms, contributing to guest comfort and satisfaction."
 Lack of milk and biscuits in the room,NEGATIVE,52,,,,
 Large well maintained bedrooms,POSITIVE,53,,,,
 From check in too check out Got a upgrade too which was nice,POSITIVE,54,,,,
 Weak Wifi in bedroom though strong enough in hallway ,NEGATIVE,55,,,,
 Staffs are very kind at the breakfast Lovely room ,POSITIVE,56,,,,
